gloss,accuracy,f1,support
13,0.0,0.0,9
15bboreio,0.0,0.0,9
200,0.0,0.0,9
ktitikab,0.0,0.0,9
index2plural,0.0,0.0,9
xrimata,0.1111111111111111,0.2,9
prasino,0.1111111111111111,0.2,9
roto,0.1111111111111111,0.2,9
kermata,0.1111111111111111,0.2,9
den_exo,0.1111111111111111,0.15384615384615385,9
den_ekana_tetel,0.1111111111111111,0.11764705882352941,9
kitrino,0.1111111111111111,0.11764705882352941,9
300,0.1111111111111111,0.2,9
xaireto,0.1111111111111111,0.18181818181818182,9
etsi_kai_etsi_arnitiko,0.1111111111111111,0.13333333333333333,9
index1,0.1111111111111111,0.09523809523809523,9
piato,0.2222222222222222,0.3333333333333333,9
agkathi,0.2222222222222222,0.26666666666666666,9
entomo,0.2222222222222222,0.2222222222222222,9
gen_erot_morio,0.2222222222222222,0.3333333333333333,9
70bboreio,0.2222222222222222,0.3076923076923077,9
tonos,0.2222222222222222,0.36363636363636365,9
10,0.2222222222222222,0.2857142857142857,9
50,0.2222222222222222,0.26666666666666666,9
taxinomitis_mikrou_megethous_kermatos_f_orizontio,0.2222222222222222,0.2857142857142857,9
taxinomitis_ogkou_c2,0.2222222222222222,0.21052631578947367,9
8000,0.2222222222222222,0.3076923076923077,9
potiri,0.2222222222222222,0.36363636363636365,9
agrios,0.2222222222222222,0.36363636363636365,9
psomi,0.2222222222222222,0.2857142857142857,9
taxinomitis_gia_emyxo_kinoumeno_l_se_kampsi=perpato,0.2222222222222222,0.2222222222222222,9
taxinomitis_mias_diastasis_d_katheto,0.2222222222222222,0.3333333333333333,9
dino,0.2222222222222222,0.3333333333333333,9
koupa,0.2222222222222222,0.3333333333333333,9
index2,0.2222222222222222,0.3333333333333333,9
index1plural,0.2222222222222222,0.36363636363636365,9
gyali,0.2222222222222222,0.36363636363636365,9
kainourgios,0.3333333333333333,0.46153846153846156,9
mpiskoto,0.3333333333333333,0.375,9
koroideyo,0.3333333333333333,0.3333333333333333,9
kalos,0.3333333333333333,0.5,9
20,0.3333333333333333,0.4,9
fraoula,0.3333333333333333,0.4,9
2000,0.3333333333333333,0.42857142857142855,9
kakos_asximos_xalia,0.3333333333333333,0.46153846153846156,9
index4,0.3333333333333333,0.46153846153846156,9
exypnos,0.3333333333333333,0.5,9
fakos,0.3333333333333333,0.24,9
ktitika_d,0.3333333333333333,0.3333333333333333,9
mpota,0.3333333333333333,0.375,9
80bboreio,0.3333333333333333,0.3,9
9000,0.3333333333333333,0.42857142857142855,9
pappous,0.3333333333333333,0.46153846153846156,9
nosokomeio,0.3333333333333333,0.42857142857142855,9
stamato,0.3333333333333333,0.5,9
simera,0.3333333333333333,0.375,9
aspro,0.3333333333333333,0.3333333333333333,9
80,0.3333333333333333,0.35294117647058826,9
